Filename	Category Code	Column Number	Data Label	Data Label Source	Controlled Vocab Cd
cier.txt	CIER	1	01 Lost to followup		
cier.txt	CIER	2	02 Cause_of_death		
cier.txt	CIER	3	03 Cause_of_death_Otro		
cier.txt	CIER	4	SUBJ_ID		
cier.txt	CIER	5	04 Is the participant an index case		
cier.txt	CIER	6	05 VISIT_Type		
cier.txt	CIER	7	06 Withdrawal for another reason		
cier.txt	CIER	8	07 CIER_Withdrawal for another reason text		
cier.txt	CIER	9	08 Encounter_date		
cier.txt	CIER	10	09 Date_death		
cier.txt	CIER	11	10 Cier_withdraw_reason		
cier.txt	CIER	12	11 CIER_withdraw_reason_other		
cier.txt	CIER	13	12 Decision_of_PI		
cier.txt	CIER	14	13 CIER_withdraw_date		
cier.txt	CIER	15	14 Decease		
cier.txt	CIER	16	15 Complete_final_visit		
cier.txt	CIER	17	OMIT		
enroll.txt	ENROLL	1	01 Is The participant an index case		
enroll.txt	ENROLL	2	02 Enrolled		
enroll.txt	ENROLL	3	03 Household Code		
enroll.txt	ENROLL	4	04 HH_id		
enroll.txt	ENROLL	5	05 Micro_red		
enroll.txt	ENROLL	6	06 Patient Sex (SEX)		
enroll.txt	ENROLL	7	SUBJ_ID		
enroll.txt	ENROLL	8	07 Reason_to_Decline		
enroll.txt	ENROLL	9	08 Date_screened		
enroll.txt	ENROLL	10	09 Date_enrolled		
enroll.txt	ENROLL	11	10 Date_refused		
enroll.txt	ENROLL	12	AGE		
enroll.txt	ENROLL	13	11 Sputum_Consent		
enroll.txt	ENROLL	14	12 Blood_Consent		
enroll.txt	ENROLL	15	13 PregTestConsent		
enroll.txt	ENROLL	16	14 NewStudyConsent		
enroll.txt	ENROLL	17	15 XrayConsent		
enroll.txt	ENROLL	18	16 PpdConsent		
enroll.txt	ENROLL	19	17 HIVTestConsent		
enroll.txt	ENROLL	20	18 HomeVisitConsent		
demo.txt	DEMO	1	01 RACE		
demo.txt	DEMO	2	02 Have You Moved In The Last 5 Years		
demo.txt	DEMO	3	03 Ethnicity		
demo.txt	DEMO	4	04 Last Address Before Current Address 		
demo.txt	DEMO	5	05 Last Address Before Current Address District		
demo.txt	DEMO	6	06 Last Address Before Current Address Referencia		
demo.txt	DEMO	7	OMIT		
