"ColNum","Head1","Head2","SubFile","Evo","Reformat","VarName","Linked","Header"
1,"Patient.ID",,,,,,,"Patient.ID"
2,"Survey.Session.ID",,,,,,,"Survey.Session.ID"
3,"Survey.Date",,,,,,,"Survey.Date"
4,"Clinical.Status",,,,,,,"Clinical.Status"
5,"Genetic.Status",,,,,,,"Genetic.Status"
6,"Country",,,,,,,"Country"
7,"Birthdate",,,,,,,"Birthdate"
8,"Gender",,,,,,,"Gender"
9,"Ancestral.Background",,,,,,,"Ancestral.Background"
10,"If.deceased,.date.of.death",,,,,,,"If.deceased,.date.of.death"
11,"Repository.Name",,,,,,,"Repository.Name"
12,"Repository.ID",,,,,,,"Repository.ID"
13,"Lymphocyte.Specimen.ID",,,,,,,"Lymphocyte.Specimen.ID"
14,"Fibroblast.Specimen.ID",,,,,,,"Fibroblast.Specimen.ID"
15,"iPSC.Specimen.ID",,,,,,,"iPSC.Specimen.ID"
16,"Biological.Mother.PID",,,,,,,"Biological.Mother.PID"
17,"Biological.Father.PID",,,,,,,"Biological.Father.PID"
18,"GUID",,,,,,,"GUID"
19,"Did.the.baby.have.difficulties.with.feeding?","Had.difficulty.latching.on.the.breast","First-Year Development",,,,,"Did.the.baby.have.difficulties.with.feeding?_Had.difficulty.latching.on.the.breast"
20,"Did.the.baby.have.difficulties.with.feeding?","Had.difficulty.latching.on.the.bottle","First-Year Development",,,,,"Did.the.baby.have.difficulties.with.feeding?_Had.difficulty.latching.on.the.bottle"
21,"Did.the.baby.have.difficulties.with.feeding?","Had.poor.suck","First-Year Development",,,,,"Did.the.baby.have.difficulties.with.feeding?_Had.poor.suck"
22,"Did.the.baby.have.difficulties.with.feeding?","Had.swallowing.problems","First-Year Development",,,,,"Did.the.baby.have.difficulties.with.feeding?_Had.swallowing.problems"
23,"Did.the.baby.have.difficulties.with.feeding?","Required.special.feeds","First-Year Development",,,,,"Did.the.baby.have.difficulties.with.feeding?_Required.special.feeds"
24,"Did.the.baby.have.difficulties.with.feeding?","No","First-Year Development",,,,,"Did.the.baby.have.difficulties.with.feeding?_No"
25,"Did.the.baby.have.difficulties.with.feeding?","Unsure","First-Year Development",,,,,"Did.the.baby.have.difficulties.with.feeding?_Unsure"
26,"Did.the.baby.have.difficulties.with.feeding?","Other","First-Year Development",,,,,"Did.the.baby.have.difficulties.with.feeding?_Other"
27,"Did.the.baby.have.difficulties.with.feeding?","Other.Value","First-Year Development",,,,,"Did.the.baby.have.difficulties.with.feeding?_Other.Value"
28,"If.the.baby.required.special.feeds,.what.type?","Nasogastric.(NG).tube","First-Year Development",,,,,"If.the.baby.required.special.feeds,.what.type?_Nasogastric.(NG).tube"
29,"If.the.baby.required.special.feeds,.what.type?","Thickened.liquid","First-Year Development",,,,,"If.the.baby.required.special.feeds,.what.type?_Thickened.liquid"
30,"If.the.baby.required.special.feeds,.what.type?","Special.nipples","First-Year Development",,,,,"If.the.baby.required.special.feeds,.what.type?_Special.nipples"
31,"If.the.baby.required.special.feeds,.what.type?","Gavage.(force.feeding)","First-Year Development",,,,,"If.the.baby.required.special.feeds,.what.type?_Gavage.(force.feeding)"
32,"If.the.baby.required.special.feeds,.what.type?","Unsure","First-Year Development",,,,,"If.the.baby.required.special.feeds,.what.type?_Unsure"
33,"If.the.baby.required.special.feeds,.what.type?","Not.applicable","First-Year Development",,,,,"If.the.baby.required.special.feeds,.what.type?_Not.applicable"
34,"If.the.baby.required.special.feeds,.what.type?","Other","First-Year Development",,,,,"If.the.baby.required.special.feeds,.what.type?_Other"
35,"If.the.baby.required.special.feeds,.what.type?","Other.Value","First-Year Development",,,,,"If.the.baby.required.special.feeds,.what.type?_Other.Value"
36,"How.long.were.special.feeds.required?",,"First-Year Development",,,,,"How.long.were.special.feeds.required?"
37,"If.the.patient.continued.to.exhibit.feeding.difficulties,.was.a.G-tube.placed?",,"First-Year Development",,,,,"If.the.patient.continued.to.exhibit.feeding.difficulties,.was.a.G-tube.placed?"
38,"At.what.age.was.a.G-tube.placed?",,"First-Year Development",,,,,"At.what.age.was.a.G-tube.placed?"
39,"How.long.has.the.G-tube.remained.in.place?",,"First-Year Development",,,,,"How.long.has.the.G-tube.remained.in.place?"
40,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Floppy.baby_Symptoms","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Floppy.baby_Symptoms"
41,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Floppy.baby_Age.at.Symptoms","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Floppy.baby_Age.at.Symptoms"
42,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Floppy.baby_Status","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Floppy.baby_Status"
43,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Fatigues.easily_Symptoms","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Fatigues.easily_Symptoms"
44,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Fatigues.easily_Age.at.Symptoms","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Fatigues.easily_Age.at.Symptoms"
45,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Fatigues.easily_Status","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Fatigues.easily_Status"
46,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Weak.muscles_Symptoms","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Weak.muscles_Symptoms"
47,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Weak.muscles_Age.at.Symptoms","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Weak.muscles_Age.at.Symptoms"
48,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Weak.muscles_Status","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Weak.muscles_Status"
49,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Ligament.or.joint.laxity_Symptoms","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Ligament.or.joint.laxity_Symptoms"
50,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Ligament.or.joint.laxity_Age.at.Symptoms","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Ligament.or.joint.laxity_Age.at.Symptoms"
51,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Ligament.or.joint.laxity_Status","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Ligament.or.joint.laxity_Status"
52,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Poor.reflexes_Symptoms","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Poor.reflexes_Symptoms"
53,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Poor.reflexes_Age.at.Symptoms","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Poor.reflexes_Age.at.Symptoms"
54,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Poor.reflexes_Status","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Poor.reflexes_Status"
55,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Other","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Other"
56,"Has.the.patient.ever.shown.any.of.the.following.symptoms?","Other.Value","Physical Development",,,,,"Has.the.patient.ever.shown.any.of.the.following.symptoms?_Other.Value"
57,"If.the.patient.was.diagnosed.by.a.healthcare.professional.with.Hypotonia,.how.old.was.he/she.when.the.diagnosis.was.made?",,"Physical Development",,,,,"If.the.patient.was.diagnosed.by.a.healthcare.professional.with.Hypotonia,.how.old.was.he/she.when.the.diagnosis.was.made?"
58,"Does.the.patient.have.coordination.difficulties?.(excessive.clumsiness)",,"Physical Development",,,,,"Does.the.patient.have.coordination.difficulties?.(excessive.clumsiness)"
59,"Does.the.patient.have.difficulties.with.motor.planning.or.motor.learning?",,"Physical Development",,,,,"Does.the.patient.have.difficulties.with.motor.planning.or.motor.learning?"
60,"Does.the.patient.have.difficulties.maintaining.balance?.(the.patient.falls.without.support)",,"Physical Development",,,,,"Does.the.patient.have.difficulties.maintaining.balance?.(the.patient.falls.without.support)"
61,"If.the.patient.has.difficulties.maintaining.balance,.does.the.inability.to.balance.depend.on.sight?.(e.g..no.balance.in.the.dark)",,"Physical Development",,,,,"If.the.patient.has.difficulties.maintaining.balance,.does.the.inability.to.balance.depend.on.sight?.(e.g..no.balance.in.the.dark)"
62,"How.old.was.the.patient.when.the.following.gross.motor.milestones.were.met?","Hold.head.up.on.his/her.own","Gross Motor Development",,,,,"How.old.was.the.patient.when.the.following.gross.motor.milestones.were.met?_Hold.head.up.on.his/her.own"
63,"How.old.was.the.patient.when.the.following.gross.motor.milestones.were.met?","Roll.over.back.to.stomach","Gross Motor Development",,,,,"How.old.was.the.patient.when.the.following.gross.motor.milestones.were.met?_Roll.over.back.to.stomach"
64,"How.old.was.the.patient.when.the.following.gross.motor.milestones.were.met?","Sit.when.placed","Gross Motor Development",,,,,"How.old.was.the.patient.when.the.following.gross.motor.milestones.were.met?_Sit.when.placed"
