Filename	Category Code	Column Number	Data Label	Data Label Source	Controlled Vocab Cd
Demographics_raw_data.txt	04_NIMH_-_Research_Domain_Criteria_(RDoC)+01_Self-Reports	1	SUBJ_ID		
Demographics_raw_data.txt	04_NIMH_-_Research_Domain_Criteria_(RDoC)+AGE+01_Self-Reports	2	AGE		
Demographics_raw_data.txt	04_NIMH_-_Research_Domain_Criteria_(RDoC)+SEX+01_Self-Reports	3	SEX		
Demographics_raw_data.txt	04_NIMH_-_Research_Domain_Criteria_(RDoC)+RACE+01_Self-Reports	4	RACE		
Anxiety_Positive.txt	01_Self-Reports+01_Negative_Valence_Systems+01_Potential_Threat_(Anxiety)	1	SUBJ_ID		
Anxiety_Positive.txt	01_Self-Reports+01_Negative_Valence_Systems+01_Potential_Threat_(Anxiety)	2	01_Positive_Outcomes		
Anxiety_Negative.txt	01_Self-Reports+01_Negative_Valence_Systems+01_Potential_Threat_(Anxiety)	1	SUBJ_ID		
Anxiety_Negative.txt	01_Self-Reports+01_Negative_Valence_Systems+01_Potential_Threat_(Anxiety)	2	02_Negative_Outcomes		
Loss2.txt	01_Self-Reports+01_Negative_Valence_Systems+02_Loss	1	SUBJ_ID		
Loss2.txt	01_Self-Reports+01_Negative_Valence_Systems+02_Loss	2	04_Loss_of_Motor_Skills		
Loss2.txt	01_Self-Reports+01_Negative_Valence_Systems+02_Loss	3	05_Loss_of_Complex_Skills		
Loss2.txt	01_Self-Reports+01_Negative_Valence_Systems+02_Loss	4	06_Loss_of_Speech		
Loss2.txt	01_Self-Reports+01_Negative_Valence_Systems+02_Loss	5	07_Recovery_of_any_Skills		
Loss_Gross_Motor.txt	01_Self-Reports+01_Negative_Valence_Systems+02_Loss+01_Gross_Motor_Skill	1	SUBJ_ID		
Loss_Gross_Motor.txt	01_Self-Reports+01_Negative_Valence_Systems+02_Loss+01_Gross_Motor_Skill	2	01_Evolution_of_Gross_Motor_Skill		
Loss_Gross_Motor.txt	01_Self-Reports+01_Negative_Valence_Systems+02_Loss+01_Gross_Motor_Skill	3	02_Loss_or_Regression_in_Gross_Motor_Skill		
Loss_Gross_Motor.txt	01_Self-Reports+01_Negative_Valence_Systems+02_Loss+01_Gross_Motor_Skill	4	03_Age_of_Gross_Motor_Skill_Loss_or_Regression		
Loss_Gross_Motor.txt	01_Self-Reports+01_Negative_Valence_Systems+02_Loss+01_Gross_Motor_Skill	5	04_Gross_Motor_Skill_Regaining		
Loss_Gross_Motor.txt	01_Self-Reports+01_Negative_Valence_Systems+02_Loss+01_Gross_Motor_Skill	6	05_Age_Equivalent_in_Gross_Motor_Development		
