Filename	Category Code	Column Number	Data Label
Birthdate.txt	01_PMS_Ontology+01_Demographics	1	SUBJ_ID
Birthdate.txt	01_PMS_Ontology+01_Demographics	2	02_Birthdate
Sex_Race_Country.txt	01_PMS_Ontology+01_Demographics	1	SUBJ_ID
Sex_Race_Country.txt	01_PMS_Ontology+01_Demographics	2	09_SEX
Sex_Race_Country.txt	01_PMS_Ontology+01_Demographics	3	10_RACE
Sex_Race_Country.txt	01_PMS_Ontology+01_Demographics	4	11_COUNTRY
Age_60-70.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+01_1960_to_1970	1	SUBJ_ID
Age_60-70.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+01_1960_to_1970	2	Birthdate
Age_70-80.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+02_1970_to_1980	1	SUBJ_ID
Age_70-80.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+02_1970_to_1980	2	Birthdate
Age_80-90.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+03_1980_to_1990	1	SUBJ_ID
Age_80-90.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+03_1980_to_1990	2	Birthdate
Age_90-2000.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+04_1990_to_2000	1	SUBJ_ID
Age_90-2000.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+04_1990_to_2000	2	Birthdate
Age_2000-05.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+05_2000_to_2005	1	SUBJ_ID
Age_2000-05.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+05_2000_to_2005	2	Birthdate
Age_2005-10.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+06_2005_to_2010	1	SUBJ_ID
Age_2005-10.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+06_2005_to_2010	2	Birthdate
Age_2010-15.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+07_2010_to_2015	1	SUBJ_ID
Age_2010-15.txt	01_PMS_Ontology+01_Demographics+03_Birthdate_range+07_2010_to_2015	2	Birthdate
Survey_Moment.txt	01_PMS_Ontology+01_Demographics	1	SUBJ_ID
Survey_Moment.txt	01_PMS_Ontology+01_Demographics	2	05_Survey_Session_ID
Survey_Moment.txt	01_PMS_Ontology+01_Demographics	3	VISIT_NAME
Survey_Session.txt	01_PMS_Ontology+01_Demographics	1	SUBJ_ID
Survey_Session.txt	01_PMS_Ontology+01_Demographics	2	04_Number_of_Survey_Sessions
Age_Survey_Session_Months.txt	01_PMS_Ontology+01_Demographics+07_Age_at_Survey_Sessions+01_Age_under_2_at_first_entry	1	SUBJ_ID
Age_Survey_Session_Months.txt	01_PMS_Ontology+01_Demographics+07_Age_at_Survey_Sessions+01_Age_under_2_at_first_entry	2	01_Age_at_First_Survey_Session_in_Months
Age_Survey_Session_Months.txt	01_PMS_Ontology+01_Demographics+07_Age_at_Survey_Sessions+01_Age_under_2_at_first_entry	3	02_Age_at_2nd_Survey_Session_in_Months
Age_Survey_Session_Months.txt	01_PMS_Ontology+01_Demographics+07_Age_at_Survey_Sessions+01_Age_under_2_at_first_entry	4	03_Age_at_3rd_Survey_Session_in_Months
