Filename	Category Code	Column Number	Data Label	Data Label Source	Controlled Vocab Cd
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire	1	SUBJ_ID		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire	2	VISIT_NAME		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire	3	Survey_Session_Id		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire	4	Survey_Date		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire	5	AGE_at_Entry		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	6	01_Baby_have_Difficulties_with_Feeding		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	7	01_Baby_have_Difficulties_with_Feeding		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	8	01_Baby_have_Difficulties_with_Feeding		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	9	01_Baby_have_Difficulties_with_Feeding		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	10	01_Baby_have_Difficulties_with_Feeding		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	11	01_Baby_have_Difficulties_with_Feeding		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	12	01_Baby_have_Difficulties_with_Feeding		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	13	01_Baby_have_Difficulties_with_Feeding		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues+01_Baby_have_Difficulties_with_Feeding	14	Other_Value		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	15	02_If_the_Baby_Required_Special_Feeds		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	16	02_If_the_Baby_Required_Special_Feeds		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	17	02_If_the_Baby_Required_Special_Feeds		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	18	02_If_the_Baby_Required_Special_Feeds		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	19	02_If_the_Baby_Required_Special_Feeds		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	20	02_If_the_Baby_Required_Special_Feeds		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	21	02_If_the_Baby_Required_Special_Feeds		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues+02_If_the_Baby_Required_Special_Feeds	22	01_Other_Value		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	23	03_How_long_were_Special_Feeds_Required		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	24	04_If_the_Patient_Continued_to_Exhibit_Feeding_Difficulties_was_a_G-tube_placed		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	25	05_Age_G-tube_was_Placed		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+01_First-Year_Feeding_Issues	26	06_How_Long_has_the_G-tube_Remained_in_Place		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+02_Physical_Development+01_Has_Patient_Ever_Shown_Following_Symptoms	27	01_Floppy_Baby-Symptoms		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+02_Physical_Development+01_Has_Patient_Ever_Shown_Following_Symptoms	28	02_Floppy_Baby-Age_at_Symptoms		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+02_Physical_Development+01_Has_Patient_Ever_Shown_Following_Symptoms	29	03_Floppy_Baby-Status		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+02_Physical_Development+01_Has_Patient_Ever_Shown_Following_Symptoms	30	04_Fatigues_Easily-Symptoms		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+02_Physical_Development+01_Has_Patient_Ever_Shown_Following_Symptoms	31	05_Fatigues_Easily-Age_at_Symptoms		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+02_Physical_Development+01_Has_Patient_Ever_Shown_Following_Symptoms	32	06_Fatigues_Easily-Status		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+02_Physical_Development+01_Has_Patient_Ever_Shown_Following_Symptoms	33	07_Weak_Muscles-Symptoms		
PMSREGISTRY2_raw_data.txt	03_Developmental_Questionnaire+02_Physical_Development+01_Has_Patient_Ever_Shown_Following_Symptoms	34	08_Weak_Muscles-Age_at_Symptoms		
